Bat_ID	bat_name	video_ID	trial_name	trial_name_2	primary_stim	first_stim	trial_number	sm_tw_trial	md_tw_trial	lg_tw_trial	all_tw_trial	total_tw	Orienting_trial	Flying_trial	Approach_trial	Grooming_trial	Landing_trial	Yawning_trial	set_num	sm_tw_set	md_tw_set	lg_tw_set	all_tw_set	Orienting_set
Bat1	Wramplemeier	M2U02127	de_t_de	de_t_de	De	De	2	9	0	14	23	87	0	3	0	1	1	0	1	0	0	10	10	0
Bat10	Insor	M2U02313	de_t_de	de_t_de	De	De	6	3	1	0	4	94	0	0	0	0	0	0	1	1	0	0	1	0
Bat11	Linus	M2U02325	de_t_de	de_t_de	De	De	8	7	2	43	52	332	6	3	1	2	0	1	1	2	2	6	10	1
Bat12	Vila	M2U02346	de_t_de	de_t_de	De	De	8	11	9	16	36	235	1	1	1	5	0	0	1	0	0	0	0	0
Bat13	Paris	M2U02353	de_t_de	de_t_de	De	De	4	14	0	49	63	235	3	0	0	0	0	0	1	0	0	6	6	1
Bat14	Captain_Isaac	M2U02370	de_t_de	de_t_de	De	De	10	7	0	42	49	363	3	3	1	0	0	5	1	2	0	8	10	0
Bat15	Captain_Henry_Morgan	M2U02377	de_t_de	de_t_de	De	De	7	11	0	17	28	301	3	0	0	5	0	0	1	5	0	1	6	1
Bat16	Blackbeard	M2U02394	de_t_de	de_t_de	De	De	3	0	0	0	0	21	0	0	0	0	0	0	1	0	0	0	0	0
Bat17	Boba_Bat	M2U02415	de_t_de	de_t_de	De	De	8	2	0	0	2	56	0	0	0	0	0	0	1	0	0	0	0	0
Bat18	Duke	M2U02423	de_t_de	de_t_de	De	De	4	11	0	29	40	152	9	0	0	0	0	0	1	0	0	6	6	1
Bat19	Sir_Frances_Drake	M2U02435	de_t_de	de_t_de	De	De	4	23	4	21	48	193	8	0	0	0	0	0	1	1	0	0	1	0
Bat2	Jesper	M2U02182	de_t_de	de_t_de	De	De	3	30	0	9	39	247	17	0	0	0	0	9	1	3	0	3	6	2
Bat9	Florecito	M2U02285	de_t_de	de_t_de	De	De	4	9	14	12	35	329	4	0	0	3	0	0	1	4	0	0	4	0
Bat10	Insor	M2U02310	ra_t_ra	ra_t_ra	Ra	Ra	3	3	5	0	8	94	0	0	0	0	0	0	1	1	0	0	1	0
Bat11	Linus	M2U02327	ra_t_ra	ra_t_ra	Ra	Ra	10	20	0	11	31	332	18	2	0	2	0	0	1	3	0	8	11	4
Bat12	Vila	M2U02348	ra_t_ra	ra_t_ra	Ra	Ra	10	2	0	0	2	235	0	0	0	0	0	0	1	0	0	0	0	0
Bat13	Paris	M2U02355	ra_t_ra	ra_t_ra	Ra	Ra	6	7	0	5	12	402	2	0	0	0	0	0	1	2	0	0	2	0
Bat14	Captain_Isaac	M2U02368	ra_t_ra	ra_t_ra	Ra	Ra	8	15	1	7	23	363	10	0	0	2	0	9	1	1	1	1	3	2
Bat15	Captain_Henry_Morgan	M2U02380	ra_t_ra	ra_t_ra	Ra	Ra	9	13	7	11	31	301	9	4	0	0	0	5	1	5	5	10	20	1
Bat16	Blackbeard	M2U02392	ra_t_ra	ra_t_ra	Ra	Ra	1	0	0	0	0	21	0	0	0	0	0	0	1	0	0	0	0	0
Bat17	Boba_Bat	M2U02416	ra_t_ra	ra_t_ra	Ra	Ra	9	2	0	0	2	56	0	0	0	0	0	0	1	0	0	0	0	0
Bat18	Duke	M2U02422	ra_t_ra	ra_t_ra	Ra	Ra	3	11	0	3	14	152	4	0	0	0	0	0	1	6	0	0	6	1
Bat19	Sir_Frances_Drake	M2U02433	ra_t_ra	ra_t_ra	Ra	Ra	2	22	4	6	32	193	4	0	0	0	0	0	1	8	2	5	15	1
Bat2	Jesper	M2U02180	ra_t_ra	ra_t_ra	Ra	Ra	1	39	0	10	49	247	7	0	0	0	0	0	1	17	0	0	17	1
Bat9	Florecito	M2U02287	ra_t_ra	ra_t_ra	Ra	Ra	6	6	1	0	7	329	1	8	1	0	0	0	1	5	1	0	6	0
Bat10	Insor	M2U02311	rra_rt_rra	rra_rt_rra	Rra	Rra	4	29	0	0	29	94	0	0	0	0	0	10	1	24	0	0	24	0
Bat11	Linus	M2U02318	rra_rt_rra	rra_rt_rra	Rra	Rra	1	27	15	24	66	332	9	0	0	0	0	0	1	5	10	10	25	2
Bat12	Vila	M2U02341	rra_rt_rra	rra_rt_rra	Rra	Rra	5	6	26	5	37	235	5	8	0	0	0	0	1	0	14	4	18	0
